Dealer,Invoice No,Date,Product,Batch,Expiry,HSN,MRP,Rate,Qty,Amount
M.R. Pharmaceutical,MR000502,6/10/2026,Mon-Xcef 1GM Inj,DPD260619,28-Sep,300420,67.05,27.71,10,277.1
M.R. Pharmaceutical,MR000502,6/10/2026,NLLG-Mycin Injection (Gentamicin),NSM25906,27-Oct,30049087,5.84,5.87,10,58.7
M.R. Pharmaceutical,MR000519,6/12/2026,Sterile Water,10DGP1087,27-Nov,300420,3.03,2.15,64,137.6
M.R. Pharmaceutical,MR000519,6/12/2026,Ondem 2ML,OND25281SR,27-Sep,30049035,12.73,5.4,10,54
M.R. Pharmaceutical,MR000519,6/12/2026,Xone 1GM,25181033,28-Jun,30042019,66.64,26.79,10,267.9
M.R. Pharmaceutical,MR000519,6/12/2026,Pause Inj,ELF8AT5004,28-Jun,30043200,73.22,47.85,10,478.5
M.R. Pharmaceutical,MR000519,6/12/2026,Justin AQ Inj,BDW29A1A,27-Oct,30049069,23.8,5.17,10,51.7
M.R. Pharmaceutical,MR000519,6/12/2026,Neomol 100 ML Inj,383T1002,27-Nov,30049069,591.5,35,10,350
M.R. Pharmaceutical,MR000519,6/12/2026,Win-Ticowin 400 (Teicoplanin),PBSL25075A,27-Aug,30049069,2299,432,10,4320
M.R. Pharmaceutical,MR000539,6/15/2026,"Roller Bandage 4""",10,29-Jan,30059010,25.33,14.81,12,177.72
M.R. Pharmaceutical,MR000539,6/15/2026,Syringe 5ML Dispovan,606051NI12,31-Jan,90183290,10.23,3.5,200,700
M.R. Pharmaceutical,MR000539,6/15/2026,Glycine (Jedux) 3000ML,K6230033,28-Nov,30049099,711.45,168,4,672
M.R. Pharmaceutical,MR000539,6/15/2026,Anawin Heavy,KP1713925,27-Dec,30049099,31.47,25.5,25,637.5
M.R. Pharmaceutical,MR000539,6/15/2026,Lox Adrenaline Inj,SU1478472,26-Aug,30049099,33.6,26.5,10,265
M.R. Pharmaceutical,MR000539,6/15/2026,Lox Adrenaline Inj,SU1478526,27-Mar,30049099,33.6,26.5,20,530
M.R. Pharmaceutical,MR000539,6/15/2026,Supridol 1ML Inj,KP1287044,28-Jan,30049079,12.56,5,15,75
M.R. Pharmaceutical,MR000539,6/15/2026,Soflene IV Cannula Fixator,G26A060041,28-Dec,90183990,91,8.3,50,415
M.R. Pharmaceutical,MR000553,6/16/2026,Pipzo 4.5GM Inj,26440056,27-Dec,30041090,326.22,110,8,880
M.R. Pharmaceutical,MR000553,6/16/2026,Pipzo 4.5GM Inj,26440452,28-Jan,30041090,326.22,110,2,220
M.R. Pharmaceutical,MR000553,6/16/2026,Epicetam 5ML Inj (Levetiracetam),V667145,28-Feb,30049082,121.8,32,5,160
